"Old Ref ID"	"Ref ID"	"Record Last Updated (dd/mm/yyyy)"	"Operator (or Applicant)"	"Site Name"	"Technology Type"	"Storage Type"	"Storage Co-location REPD Ref ID"	"Installed Capacity (MWelec)"	"CHP Enabled"	"RO Banding (ROC/MWh)"	"FiT Tariff (p/kWh)"	"CfD Capacity (MW)"	"Turbine Capacity (MW)"	"No. of Turbines"	"Height of Turbines (m)"	"Mounting Type for Solar"	"Development Status"	"Development Status (short)"	"Address"	"County"	"Region"	"Country"	"Post Code"	"X-coordinate"	"Y-coordinate"	"Planning Authority"	"Planning Application Reference"	"Appeal Reference"	"Secretary of State Reference"	"Type of Secretary of State Intervention"	"Judicial Review"	"Offshore Wind Round"	"Planning Application Submitted"	"Planning Application Withdrawn"	"Planning Permission Refused"	"Appeal Lodged"	"Appeal Withdrawn"	"Appeal Refused"	"Appeal Granted"	"Planning Permission Granted"	"Secretary of State - Intervened"	"Secretary of State - Refusal"	"Secretary of State - Granted"	"Planning Permission Expired"	"Under Construction"	"Operational"	"Sites"
NA	5352	2019-03-28	"Earls Gate Energy Centre"	"CalaChem Fine Chemicals (Grangemouth)"	"EfW Incineration"	NA	NA	21.5	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Under Construction"	"Under Construction"	"Calachem Ltd, Earls Road, Grangemouth, Central"	"Falkirk"	"Scotland"	"Scotland"	"FK3 8XG"	291830	681210	"Falkirk Council"	"P/16/0321/FUL"	NA	NA	NA	NA	NA	2016-05-20	NA	NA	NA	NA	NA	NA	2017-01-18	NA	NA	NA	2020-01-18	2019-01-01	NA	1
NA	5373	2019-09-17	"Vento Ludens"	"Lurg Hill Wind Farm"	"Wind Onshore"	NA	NA	15	"n/a"	NA	NA	NA	"3"	"5"	"130"	"n/a"	"Appeal Granted"	"Awaiting Construction"	"Lurg Hill, Grange, Deskford, Keith, Grampian"	"Moray"	"Scotland"	"Scotland"	"AB55 6TA"	351190	858727	"Moray Council"	"17/01198/EIA"	"PPA-300-2052"	NA	NA	NA	NA	2017-09-28	NA	2018-06-20	2018-09-19	NA	NA	2019-02-25	2019-02-25	NA	NA	NA	2022-02-25	NA	NA	1
NA	5375	2016-05-26	"SBC Renewables"	"Castlehill Solar Farm"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Abandoned"	"Abandoned"	"Site To North East Of Castlehill Farm, Stevenston, Ayrshire"	"North Ayrshire"	"Scotland"	"Scotland"	"KA13 6TT"	228423	643496	"North Ayrshire Council"	"15/00469/PP"	NA	NA	NA	NA	NA	2015-08-26	NA	NA	NA	NA	NA	NA	2015-10-16	NA	NA	NA	2018-10-16	NA	NA	1
NA	5384	2017-07-17	"West Strathore Solar"	"West Strathore Solar Limited"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Operational"	"Operational"	"West Strathore House, Strathore Road, Thornton, Kirkcaldy, Fife"	"Fife"	"Scotland"	"Scotland"	"KY1 4DY"	328619	697504	"Fife Council"	"15/02351/FULL"	NA	NA	NA	NA	NA	2015-07-23	NA	NA	NA	NA	NA	NA	2015-11-26	NA	NA	NA	2018-11-26	2016-11-01	2017-03-30	1
NA	5386	2018-10-02	"XSCH"	"Ferneylea Farm"	"Wind Onshore"	NA	NA	18	"n/a"	NA	NA	NA	"3"	"6"	"115"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Ferneylea Farm, High Street, Ferneylea, Aberlady, Longniddry, Lothian"	"East Lothian"	"Scotland"	"Scotland"	"EH32 9"	373273	668433	"East Lothian Council"	"15/00363/P"	NA	NA	NA	NA	NA	2015-07-21	2018-08-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5392	2018-10-29	"Burcote Wind"	"Sandy Knowe Wind Farm (resubmission)"	"Wind Onshore"	NA	NA	49.4	"n/a"	NA	NA	NA	"2"	"24"	"125"	"n/a"	"Planning Permission Granted"	"Awaiting Construction"	"Site Art Libry Moor, Locharbriggs, By Kirkconnel and Kelloholm, Dumfries"	"Dumfries and Galloway"	"Scotland"	"Scotland"	"DG1 1QF"	270100	610600	"Dumfries and Galloway Council"	"15/P/3/0279"	NA	NA	NA	NA	NA	2015-07-09	NA	NA	NA	NA	NA	NA	2016-11-24	NA	NA	NA	2019-11-23	NA	NA	1
NA	5393	2019-02-04	"Greencoat (formerly 3R Energy/Blue Energy)"	"Douglas West and Dalquhandy Renewable Energy Project"	"Wind Onshore"	NA	NA	49	"n/a"	NA	NA	NA	"3"	"15"	"127"	"n/a"	"Planning Permission Granted"	"Awaiting Construction"	"Douglas West and Dalquhandy, F, Lesmahagow, Site West of Junction 11 of M7, Lanark, Strathclyde"	"South Lanarkshire"	"Scotland"	"Scotland"	"ML11 0"	280968	634257	"South Lanarkshire Council"	"CL/15/0273"	NA	NA	NA	NA	NA	2015-07-16	NA	NA	NA	NA	NA	NA	2016-02-02	NA	NA	NA	2021-02-02	NA	NA	1
NA	5414	2015-08-06	"Wilson Renewables II"	"Bankend Rig II Wind Farm"	"Wind Onshore"	NA	NA	10.2	"n/a"	NA	NA	NA	"3.4"	"3"	"136"	"n/a"	"Planning Application Submitted"	"Application Submitted"	"Bankend Rig II Wind Farm, Drumclog, Strathaven, Strathclyde"	"South Lanarkshire"	"Scotland"	"Scotland"	"ML10 6QG"	264000	633700	"South Lanarkshire Council"	"EK/15/0217"	NA	NA	NA	NA	NA	2015-07-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5418	2018-08-21	"Green Highland Renewables"	"River Coiltie Hydro Scheme"	"Small Hydro"	NA	NA	1.9	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Operational"	"Operational"	"Land At Corbay Wood Glen, Coiltie, Drumnadrochit, Inverness"	"Highland"	"Scotland"	"Scotland"	"IV63"	249251	827905	"Highland Council"	"15/02595/FUL"	NA	NA	NA	NA	NA	2015-07-07	NA	NA	NA	NA	NA	NA	2015-09-18	NA	NA	NA	2018-09-18	2016-08-15	2017-07-01	1
NA	5448	2015-08-06	"West Cost Energy"	"Forrestfield Wind Farm"	"Wind Onshore"	NA	NA	13.2	"n/a"	NA	NA	NA	"3.3"	"4"	"125"	"n/a"	"Planning Application Submitted"	"Application Submitted"	"Site South Of, Airdrie Road, Caldercruix, Airdrie, Strathclyde"	"North Lanarkshire"	"Scotland"	"Scotland"	"ML6 8NX"	286350	666350	"North Lanarkshire Council"	"15/01411/FUL"	NA	NA	NA	NA	NA	2015-07-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5454	2015-03-04	"Ventus Renewables"	"Land North West Of Lower Lybster (Resubmission)"	"Wind Onshore"	NA	NA	1	"n/a"	NA	NA	NA	"1"	"1"	"80"	"n/a"	"Planning Permission Refused"	"Application Refused"	"Land 700M North West Of Lower, Lybster, Highlands"	"Highland"	"Scotland"	"Scotland"	"KW3"	321192	936449	"Highland Council"	"15/02386/FUL"	NA	NA	NA	NA	NA	2015-06-24	NA	2016-01-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5455	2018-04-05	"Cumberhead Wind Energy"	"Cumberhead Wind Farm"	"Wind Onshore"	NA	NA	48	"n/a"	NA	NA	NA	"3"	"16"	"125"	"n/a"	"Planning Application Submitted"	"Application Submitted"	"Cumberhead, Lanark, Strathclyde"	"South Lanarkshire"	"Scotland"	"Scotland"	"ML11 0HN"	276581	632651	"South Lanarkshire Council"	"CL/15/0231"	NA	NA	NA	NA	NA	2015-06-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5459	2015-11-05	"1 Stop Renewables"	"Land South West Of Backfield Farm (Resubmission)"	"Wind Onshore"	NA	NA	2.3	"n/a"	NA	NA	NA	"2.2999999999999998"	"1"	"99.5"	"n/a"	"Planning Permission Refused"	"Application Refused"	"Land South West Of, Backfield Farm, Drumlithie, Stonehaven, Grampian"	"Aberdeenshire"	"Scotland"	"Scotland"	"AB39 3YN"	375706	782283	"Aberdeenshire Council"	"APP/2015/2092"	NA	NA	NA	NA	NA	2015-06-29	NA	2015-10-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5464	2019-11-22	"Selettra Holding"	"Land East of Sandyford"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Field 775M East Of, Sandyford Farm, Sandyford, Kirriemuir, Tayside"	"Angus"	"Scotland"	"Scotland"	"DD8 5QH"	342302	754319	"Angus Council"	"15/00603/FULL"	NA	NA	NA	NA	NA	2015-06-26	NA	NA	NA	NA	NA	NA	2015-09-30	NA	NA	NA	2018-09-30	NA	NA	1
NA	5467	2019-03-22	"Barr Environmental"	"Killoch Depot"	"EfW Incineration"	NA	NA	12	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Permission Granted"	"Awaiting Construction"	"Killoch Depot Killoch Colliery, Ochiltree, Cumnock, Strathclyde"	"East Ayrshire"	"Scotland"	"Scotland"	"KA18 2RL"	248650	620732	"East Ayrshire Council"	"15/0413/PP"	NA	NA	NA	NA	NA	2015-06-09	NA	NA	NA	NA	NA	NA	2017-06-22	NA	NA	NA	2020-06-22	NA	NA	1
NA	5471	2018-09-27	"Green Power Consultants"	"Jamesfield Solar Farm"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Expired"	"Planning Permission Expired"	"Land 200M South E Of The Bothy, Jamesfield, Newburgh, Cupar, Fife"	"Perth and Kinross"	"Scotland"	"Scotland"	"KY14 6EW"	320043	717986	"Perth and Kinross Council"	"15/00833/FLL"	NA	NA	NA	NA	NA	2015-06-17	NA	NA	NA	NA	NA	NA	2015-08-14	NA	NA	NA	2018-08-14	NA	NA	1
NA	5479	2018-10-25	"Green Cat Renewables"	"Hill of Blairfowl Solar Farm"	"Solar Photovoltaics"	NA	NA	1.5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Land To The North Of St Johns, Fyvie, Turriff, Grampian"	"Aberdeenshire"	"Scotland"	"Scotland"	"AB53 8PX"	379540	837700	"Aberdeenshire Council"	"APP/2015/1819"	NA	NA	NA	NA	NA	2015-06-16	NA	NA	NA	NA	NA	NA	2015-08-07	NA	NA	NA	2018-08-07	NA	NA	1
NA	5513	2017-02-27	"Green Hedge (BayWa r.e.)"	"Wormit Solar Farm"	"Solar Photovoltaics"	NA	NA	4	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Operational"	"Operational"	"Land North East of Kilmany Road, Wormit, Newport-On-Tay"	"Fife"	"Scotland"	"Scotland"	"DD6 8P"	340703	725248	"Fife Council"	"15/02521/FULL"	NA	NA	NA	NA	NA	2015-07-20	NA	NA	NA	NA	NA	NA	2015-10-09	NA	NA	NA	2018-10-09	2016-01-15	2017-03-31	1
NA	5556	2016-09-01	"Colintraive and Glendarual Development Trust"	"Stronafian Community Forest Wind Turbines"	"Wind Onshore"	NA	NA	1.6	"n/a"	NA	NA	NA	"0.8"	"2"	"86.5"	"n/a"	"Planning Permission Refused"	"Application Refused"	"Land At Cruach Nam Mult Strona, Glendaruel"	"Argyll and Bute"	"Scotland"	"Scotland"	"PA25"	201797	684359	"Argyll and Bute Council"	"15/02060/PP"	NA	NA	NA	NA	NA	2015-07-30	NA	2016-08-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5569	2019-12-05	"Elgin Energy EsCo"	"Carey Solar Farm"	"Solar Photovoltaics"	NA	NA	10	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Carey Solar Farm, Abernethy, Perth, Tayside"	"Perth and Kinross"	"Scotland"	"Scotland"	"PH2 9LN"	317354	716778	"Perth and Kinross Council"	"15/01327/FLL"	NA	NA	NA	NA	NA	2015-08-12	NA	NA	NA	NA	NA	NA	2015-11-11	NA	NA	NA	2018-11-10	NA	NA	1
NA	5570	2018-08-29	"RF Logan & Co"	"Land to the North West of Sypsies Farm"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Abandoned"	"Abandoned"	"Land To The North West Of Farm, Sypsies, Crail, Anstruther"	"Fife"	"Scotland"	"Scotland"	"KY10 3XA"	359901	707818	"Fife Council"	"15/00525/FULL"	NA	NA	NA	NA	NA	2015-05-28	NA	NA	NA	NA	NA	NA	2015-09-09	NA	NA	NA	2018-09-09	NA	NA	1
NA	5587	2015-03-04	"GLID Wind Farms"	"Glens of Foudland Wind Farm (Extension)"	"Wind Onshore"	NA	NA	14	"n/a"	NA	NA	NA	"2"	"7"	"100"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Glens Of Foudland Wind Farm, Hill Of Bainshole, Bainshole, Huntly, Grampian"	"Aberdeenshire"	"Scotland"	"Scotland"	"AB54 6AS"	360862	835604	"Aberdeenshire Council"	"APP/2015/2391"	NA	NA	NA	NA	NA	2015-08-06	2016-02-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5594	2019-03-01	"Lightsource Renewable Energy"	"Montreathmont Moor Forest"	"Solar Photovoltaics"	NA	NA	42	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Montreathmont Moor Forest, Montreathmont, Forfar, Tayside"	"Angus"	"Scotland"	"Scotland"	"DD8 2TU"	357573	753072	"Angus Council"	"15/00747/FULM"	NA	NA	NA	NA	NA	2015-08-03	NA	NA	NA	NA	NA	NA	2015-11-27	NA	NA	NA	2018-11-27	NA	NA	1
NA	5611	2019-02-19	"North Ayrshire Council"	"Shewalton Landfill Site"	"Solar Photovoltaics"	NA	NA	3	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Abandoned"	"Abandoned"	"Landfill Site Shewalton Road, Riverside Business Park, Irvine, Strathclyde"	"North Ayrshire"	"Scotland"	"Scotland"	"KA11 5AN"	233455	636406	"North Ayrshire Council"	"15/00569/PP"	NA	NA	NA	NA	NA	2015-10-13	NA	NA	NA	NA	NA	NA	2015-11-24	NA	NA	NA	2018-11-24	NA	NA	1
NA	5615	2019-12-16	"Aberdeen / Aberdeenshire / Moray Councils"	"East Tullos"	"EfW Incineration"	NA	NA	11.1	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Under Construction"	"Under Construction"	"Scottish Gas Network, Greenbank Crescent, Aberdeen"	"Aberdeenshire"	"Scotland"	"Scotland"	"AB12 3BS"	395448	803990	"Aberdeen City Council"	"160276"	NA	NA	NA	NA	NA	2016-03-08	NA	NA	NA	NA	NA	NA	2016-10-11	NA	NA	NA	2019-10-11	2019-10-01	NA	1
NA	5616	2017-07-04	"2020 Renewables"	"Loch Hill Wind Farm (resubmission)"	"Wind Onshore"	NA	NA	28.8	"n/a"	NA	NA	NA	"3.6"	"8"	"126.5"	"n/a"	"Appeal Refused"	"Application Refused"	"South east of Lochinvar, appoximately 4km north east of St. John's Town of Dalry"	"Dumfries and Galloway"	"Scotland"	"Scotland"	NA	266794	584308	"Dumfries and Galloway Council"	"16/P/2/0122"	"PPA-170-2119"	NA	NA	NA	NA	2016-04-19	NA	NA	2016-10-31	NA	2017-06-13	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5618	2019-06-25	"Muirden Energy"	"Drum Hollistan Wind Farm"	"Wind Onshore"	NA	NA	51	"n/a"	NA	NA	NA	"3"	"17"	"140"	"n/a"	"Appeal Refused"	"Application Refused"	"the Sandside Estate, Land 2215M SW Of Under Keepers, Sandside, Reay, Thurso"	"Highland"	"Scotland"	"Scotland"	"KW14 7RN"	293078	963740	"Scottish Government (S36)"	"ECU00000243"	"WIN-270-9"	NA	NA	NA	NA	2016-10-20	NA	NA	2017-08-31	NA	2019-06-21	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5631	2019-12-03	"Carsebank Solar"	"Carsebank Farm"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Under Construction"	"Under Construction"	"Land 950M North East Of Carsebank Farm, Carsebank, Forfar, Tayside"	"Angus"	"Scotland"	"Scotland"	"DD8 3NP"	348194	754403	"Angus Council"	"15/00863/FULL"	NA	NA	NA	NA	NA	2015-09-14	NA	NA	NA	NA	NA	NA	2015-12-04	NA	NA	NA	2018-12-04	2018-10-01	NA	1
NA	5637	2019-12-02	"Mongoose (formerly Energy Law Unlimited/ Pogbie Windfarm)"	"Pogbie Wind Farm 2"	"Wind Onshore"	NA	NA	4.8	"n/a"	NA	NA	NA	"0.8"	"6"	"74"	"n/a"	"Operational"	"Operational"	"Humbie, Lothian"	"East Lothian"	"Scotland"	"Scotland"	"EH36 5PN"	347360	661013	"East Lothian Council"	"15/00536/P"	NA	NA	NA	NA	NA	2015-08-03	NA	NA	NA	NA	NA	NA	2016-05-06	NA	NA	NA	2019-05-06	2017-06-01	2019-03-01	1
NA	5646	2018-06-22	"BWE Partnership"	"Drummygar Solar Park"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Abandoned"	"Abandoned"	"Field 275M South of Carmyllie, Arbroath"	"Angus"	"Scotland"	"Scotland"	"DD11 2QS"	355381	743777	"Angus Council"	"15/00873/FULL"	NA	NA	NA	NA	NA	2015-09-21	NA	NA	NA	NA	NA	NA	2015-12-01	NA	NA	NA	2018-12-01	NA	NA	1
NA	5649	2015-10-06	"Private Developer"	"Welton of Creuchies (resubmission)"	"Wind Onshore"	NA	NA	9.2	"n/a"	NA	NA	NA	"2.2999999999999998"	"4"	"115"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Welton of Creuchies Farmhouse, Alyth, Blairgowrie, Tayside"	"Perth and Kinross"	"Scotland"	"Scotland"	"PH11 8LB"	321924	750200	"Perth and Kinross Council"	"15/01425/FLL"	NA	NA	NA	NA	NA	2015-09-10	2015-12-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5655	2019-01-29	"Howmuir Solar"	"Field 730M West Of Queen Street"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Field 730M West of Queen Street, Carsegownie, Forfar, Tayside"	"Angus"	"Scotland"	"Scotland"	"DD8 3A"	349552	754769	"Angus Council"	"15/00864/FULL"	NA	NA	NA	NA	NA	2015-09-14	NA	NA	NA	NA	NA	NA	2015-12-03	NA	NA	NA	2018-12-04	NA	NA	1
NA	5693	2018-11-08	"Gamesa Energy Uk"	"Glenouther Renewable Energy Park"	"Wind Onshore"	NA	NA	30	"n/a"	NA	NA	NA	"2.5"	"12"	"126.5"	"n/a"	"Appeal Refused"	"Application Refused"	"Glenouther Renewable Energy Park, Clunch Road, Fenwick, Kilmarnock"	"East Ayrshire"	"Scotland"	"Scotland"	"KA3 6EW"	247942	648393	"East Ayrshire Council"	"15/0584/PP"	"PPA-190-2059"	NA	NA	NA	NA	2015-08-10	NA	2016-05-13	2016-08-12	NA	2017-05-25	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5698	2019-11-20	"Muirmealing Solar Ltd (The Abbey Group)"	"Muirmealing Solar Farm"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Abandoned"	"Abandoned"	"Muirmealing Shaw, Saline, Dunfermline"	"Fife"	"Scotland"	"Scotland"	"KY12 9UB"	299830	692727	"Fife Council"	"15/02993/FULL"	NA	NA	NA	NA	NA	2015-08-21	NA	NA	NA	NA	NA	NA	2016-11-11	NA	NA	NA	2019-11-11	NA	NA	1
NA	5703	2018-11-16	"Morayhill"	"Morayhill AD"	"Anaerobic Digestion"	NA	NA	2	"No"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Under Construction"	"Under Construction"	"Ld 320M SW Of Norbord Europe, Dalcross, Inverness"	"Highland"	"Scotland"	"Scotland"	"IV2 7JQ"	274982	849481	"Highland Council"	"15/03273/FUL"	NA	NA	NA	NA	NA	2015-08-26	NA	NA	NA	NA	NA	NA	2015-10-27	NA	NA	NA	2018-10-27	2016-03-01	NA	1
NA	5724	2017-04-24	"Muirden Energy"	"Logie Newton Wind Farm"	"Wind Onshore"	NA	NA	1.6	"n/a"	NA	NA	NA	"0.8"	"2"	"80"	"n/a"	"Appeal Refused"	"Application Refused"	"Land At Hassiewells, Rothienorman, Inverurie, Grampian"	"Aberdeenshire"	"Scotland"	"Scotland"	"AB51 8XX"	366076	840845	"Aberdeenshire Council"	"APP/2015/2658"	"APPEAL/2016/0005"	NA	NA	NA	NA	2015-08-27	NA	2016-03-09	2016-04-18	NA	2016-12-29	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5727	2016-09-01	"West Grange Solar"	"West Grange Solar Farm"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Application Withdrawn"	"Application Withdrawn"	"Land To The North Of West Grange, West Grange Farm, Brankstone , Blairhall, Dunfermline"	"Fife"	"Scotland"	"Scotland"	"KY12"	298368	689777	"Fife Council"	"15/02928/FULL"	NA	NA	NA	NA	NA	2015-08-20	2016-08-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5744	2019-09-17	"West Coast Wind"	"Kittymuir Farm"	"Wind Onshore"	NA	NA	1.6	"n/a"	NA	NA	NA	"0.8"	"2"	"77"	"n/a"	"Planning Permission Expired"	"Planning Permission Expired"	"Kittymuir Farm, Millheugh Road, Hamilton, Strathclyde"	"South Lanarkshire"	"Scotland"	"Scotland"	"ML3 7XN"	275342	648327	"South Lanarkshire Council"	"HM/15/0336"	"PPA-380-2068"	NA	NA	NA	NA	2015-08-25	NA	2015-12-15	2016-03-02	NA	NA	2016-06-27	2016-06-27	NA	NA	NA	2019-06-27	NA	NA	1
NA	5749	2017-03-01	"Neilson Biogas"	"Park Farm AD"	"Anaerobic Digestion"	NA	NA	1	"Yes"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Park Farm, Hurlawcrook Road, East Kilbride, Glasgow, Strathclyde"	"South Lanarkshire"	"Scotland"	"Scotland"	"G75 0QL"	263684	649872	"South Lanarkshire Council"	"EK/15/0233"	NA	NA	NA	NA	NA	2015-07-24	2015-10-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	5784	2018-10-31	"Ramboll Environ UK/Comsol Energy"	"Ballochmartin"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Site To The North East Of, Wee Minnemoer, Millport, Strathclyde"	"Strathclyde"	"Scotland"	"Scotland"	"KA28 0"	216964	656725	"North Ayrshire Council"	"16/00124/PP"	NA	NA	NA	NA	NA	2016-02-15	NA	NA	NA	NA	NA	NA	2017-03-29	NA	NA	NA	2020-03-29	NA	NA	1
NA	5785	2019-01-29	"Greenside Wind Energy"	"South of Greenwellheads"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Land To The S/Of Greenwellhead, St. Fergus, Peterhead, Grampian"	"Aberdeenshire"	"Scotland"	"Scotland"	"AB42 3HG"	406370	854550	"Aberdeenshire Council"	"APP/2015/2949"	NA	NA	NA	NA	NA	2015-09-24	NA	NA	NA	NA	NA	NA	2015-10-30	NA	NA	NA	2018-10-30	NA	NA	1
NA	5795	2018-07-05	"NESF (formerly Lark Energy)"	"Balhearty Solar"	"Solar Photovoltaics"	NA	NA	4.99	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Operational"	"Operational"	"Balhearty, Coalsnaughton, Tillicoultry"	"Clackmannanshire"	"Scotland"	"Scotland"	"FK13 6NA"	293723	695800	"Clackmannanshire Council"	"15/00188/FULL"	NA	NA	NA	NA	NA	2015-10-20	NA	NA	NA	NA	NA	NA	2015-12-23	NA	NA	NA	2020-12-23	2016-02-01	2016-03-31	1
NA	5797	2018-04-04	"Lightsource Renewable Energy"	"Middle Balbeggie"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Operational"	"Operational"	"Ld To N Of Redhouse Grid Subst, Thornton Road, Kirkcaldy"	"Fife"	"Scotland"	"Scotland"	"KY1 3NN"	328855	695619	"Fife Council"	"15/02687/FULL"	NA	NA	NA	NA	NA	2015-09-16	NA	NA	NA	NA	NA	NA	2015-12-17	NA	NA	NA	2018-12-17	2016-10-17	2017-01-27	1
NA	5800	2019-02-19	"North Gisborne"	"Land North of Balbeggie Avenue"	"Solar Photovoltaics"	NA	NA	12	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Planning Permission Granted"	"Awaiting Construction"	"Land To North Of, Balbeggie Avenue, Balbeggie Thornton, Kirkcaldy"	"Fife"	"Scotland"	"Scotland"	"KY1 3NS"	328587	696532	"Fife Council"	"15/03472/FULL"	NA	NA	NA	NA	NA	2015-10-13	NA	NA	NA	NA	NA	NA	2016-03-29	NA	NA	NA	2019-03-29	NA	NA	1
NA	5812	2019-02-19	"North Ayrshire Council"	"Nethermains"	"Solar Photovoltaics"	NA	NA	5	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Abandoned"	"Abandoned"	"Nethermains Landfill, Irvine, Strathclyde"	"North Ayrshire"	"Scotland"	"Scotland"	"KA12 8EE"	231611	604614	"North Ayrshire Council"	"15/00568/PP"	NA	NA	NA	NA	NA	2015-10-13	NA	NA	NA	NA	NA	NA	2015-12-01	NA	NA	NA	2018-12-01	NA	NA	1
NA	5845	2019-01-24	"Bruxiehill Wind Energy"	"Bruxiehall Farm"	"Solar Photovoltaics"	NA	NA	2	"n/a"	NA	NA	NA	"n/a"	"n/a"	"n/a"	"Ground"	"Under Construction"	"Under Construction"	"Land To The South Of Bruxiehil, St. Fergus, Peterhead"	"Aberdeenshire"	"Scotland"	"Scotland"	NA	408820	851140	"Aberdeenshire Council"	"APP/2015/3060"	NA	NA	NA	NA	NA	2015-09-29	NA	NA	NA	NA	NA	NA	2015-11-25	NA	NA	NA	2018-11-24	2018-09-15	NA	1
NA	5859	2018-11-16	"Mountwest 838"	"Mountwest Wind Cluster (resubmission)"	"Wind Onshore"	NA	NA	2.4	"n/a"	NA	NA	NA	"2.4"	"3"	"76.5"	"n/a"	"Planning Permission Granted"	"Awaiting Construction"	"Land At Mains Of Cairnbrogie, Oldmeldrum, Inverurie"	"Aberdeenshire"	"Scotland"	"Scotland"	NA	384500	828500	"Aberdeenshire Council"	"APP/2015/2965"	NA	NA	NA	NA	NA	2015-09-21	NA	NA	NA	NA	NA	NA	2016-08-24	NA	NA	NA	2019-08-23	NA	NA	1
